# snapshot of daily closes taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted, covering 2024-09-20 to 2026-09-18. Five hundred rows give the 499 daily returns the book reports.
Date,AAPL,MSFT,JPM,XOM,JNJ
2026-03-24,251.191727,371.235565,289.606537,163.208267,232.776642
2026-03-25,252.169983,369.54245,292.597717,161.116104,237.387253
2026-03-26,252.439514,364.49292,288.873596,163.257599,236.70459
2026-03-27,248.356796,355.330017,280.137878,168.744583,237.901749
2026-03-30,246.190659,357.511169,281.05899,169.218277,239.920135
2026-03-31,253.337906,368.675964,291.349731,167.432053,241.849472
2026-04-01,255.174637,367.879181,292.558075,158.668671,241.532852
2026-04-02,255.464111,371.952667,291.785522,158.579849,240.464294
2026-04-06,258.398865,371.375,294.125,161.224655,238.416245
2026-04-07,253.048416,370.787415,296.066254,161.757568,235.883377
2026-04-08,258.438812,372.819153,306.588837,154.168549,238.742752
2026-04-09,260.02597,371.56427,308.938232,153.004044,238.75264
2026-04-10,260.015991,369.373138,308.480316,150.507248,235.932846
2026-04-13,258.738281,382.818634,312.273224,150.635559,235.438141
2026-04-14,258.368927,391.523346,309.724701,147.280212,237.555466
2026-04-15,265.955383,409.560272,304.557983,147.053223,236.14061
2026-04-16,262.930786,418.563782,308.559967,149.984222,232.054367
2026-04-17,269.748627,421.083588,308.898438,144.516968,231.698196
2026-04-20,272.563568,416.382629,315.56839,145.740677,228.245193
2026-04-21,265.695862,422.448059,311.596283,146.411758,223.763199
2026-04-22,272.683411,431.172699,311.61618,147.536789,223.703842
2026-04-23,272.942902,414.07196,310.292175,148.553268,228.205597
2026-04-24,270.577118,422.906189,306.897461,146.954544,225.089005
2026-04-27,267.13327,423.105377,310.232422,146.244003,222.951874
2026-04-28,270.227753,427.517487,310.053253,148.58287,225.375916
2026-04-29,269.688721,422.746796,307.863098,152.638901,224.940598
2026-04-30,270.866638,406.134155,311.825256,152.30336,227.414093
2026-05-01,279.640991,412.767273,311.068665,150.74411,224.782272
2026-05-04,276.336823,411.950562,306.270264,151.671768,221.823959
2026-05-05,283.673767,409.719635,308.012421,152.846146,223.159668
2026-05-06,286.997864,412.289185,313.487762,146.737427,222.239517
2026-05-07,286.927979,419.071716,304.896454,144.655136,220.151855
2026-05-08,292.797485,413.444519,300.745178,142.671539,218.974487
2026-05-11,292.427795,410.994446,298.654572,147.714432,219.083313
2026-05-12,294.545959,406.124176,303.512695,148.651962,221.883331
2026-05-13,298.612457,403.574524,298.903473,149.57962,227.978043
2026-05-14,297.953033,407.777496,298.565002,150.773712,228.354019
2026-05-15,299.971313,420.217072,296.474396,156.904022,224.307373
2026-05-18,297.583344,421.830566,299.381317,159.457489,226.493942
2026-05-19,298.712372,415.73526,294.373871,161.504242,227.562485
2026-05-20,301.989563,419.360535,300.625732,155.274567,226.889709
2026-05-21,304.727173,418.302521,301.641144,154.290939,229.274155
2026-05-22,308.553894,417.783539,305.005981,153.923325,231.856506
2026-05-26,308.064301,415.248291,305.364349,148.846191,229.050339
